,loss_1_name,loss_2_name,loss_3_name,loss_4_name,loss_5_name,win_1_name,win_2_name,win_3_name,win_4_name,win_5_name
0,Spirit Breaker,Windranger,Slardar,Morphling,Zeus,Phoenix,Faceless Void,Enchantress,Mars,Pugna
1,Tiny,Windranger,Abaddon,Sven,Faceless Void,Earth Spirit,Ember Spirit,Bane,Nature's Prophet,Lone Druid
2,Tiny,Grimstroke,Tusk,Troll Warlord,Omniknight,Earth Spirit,Lifestealer,Enchantress,Bloodseeker,Outworld Devourer
3,Io,Dark Willow,Night Stalker,Sven,Pugna,Ancient Apparition,Faceless Void,Sand King,Underlord,Kunkka
4,Vengeful Spirit,Luna,Nyx Assassin,Monkey King,Rubick,Windranger,Elder Titan,Void Spirit,Chen,Troll Warlord
5,Dark Willow,Invoker,Morphling,Elder Titan,Underlord,Phoenix,Mars,Shadow Demon,Templar Assassin,Nature's Prophet
6,Io,Gyrocopter,Rubick,Ember Spirit,Underlord,Phoenix,Ancient Apparition,Mars,Morphling,Lone Druid
7,Oracle,Elder Titan,Huskar,Invoker,Grimstroke,Windranger,Bloodseeker,Chen,Lifestealer,Rubick
8,Oracle,Dark Seer,Spirit Breaker,Huskar,Drow Ranger,Tiny,Anti-Mage,Witch Doctor,Bloodseeker,Windranger
9,Tiny,Anti-Mage,Snapfire,Pangolier,Queen of Pain,Phoenix,Clockwerk,Slardar,Lycan,Vengeful Spirit
10,Tiny,Dark Seer,Disruptor,Drow Ranger,Templar Assassin,Clockwerk,Anti-Mage,Weaver,Underlord,Pugna
11,Rubick,Undying,Morphling,Mars,Broodmother,Doom,Tiny,Vengeful Spirit,Visage,Shadow Fiend
12,Earth Spirit,Venomancer,Silencer,Lifestealer,Zeus,Phoenix,Treant Protector,Legion Commander,Morphling,Windranger
13,Mirana,Ogre Magi,Invoker,Lifestealer,Sand King,Elder Titan,Venomancer,Ember Spirit,Tusk,Anti-Mage
14,Clockwerk,Windranger,Gyrocopter,Tusk,Invoker,Treant Protector,Void Spirit,Legion Commander,Phoenix,Spectre
15,Windranger,Beastmaster,Abaddon,Troll Warlord,Batrider,Mirana,Ogre Magi,Legion Commander,Terrorblade,Invoker
16,Sand King,Arc Warden,Grimstroke,Leshrac,Necrophos,Mirana,Elder Titan,Beastmaster,Faceless Void,Kunkka
17,Mirana,Crystal Maiden,Invoker,Beastmaster,Sven,Elder Titan,Ember Spirit,Sand King,Silencer,Terrorblade
18,Clockwerk,Batrider,Vengeful Spirit,Medusa,Dragon Knight,Mirana,Legion Commander,Silencer,Storm Spirit,Slark
19,Tiny,Enchantress,Morphling,Kunkka,Axe,Keeper of the Light,Venomancer,Earth Spirit,Invoker,Drow Ranger
20,Enchantress,Tiny,Underlord,Spectre,Kunkka,Dark Willow,Sand King,Ogre Magi,Sven,Ember Spirit
21,Enchantress,Earth Spirit,Death Prophet,Sven,Centaur Warrunner,Treant Protector,Witch Doctor,Legion Commander,Leshrac,Slark
22,Clockwerk,Lifestealer,Silencer,Legion Commander,Ancient Apparition,Keeper of the Light,Ember Spirit,Treant Protector,Morphling,Dazzle
23,Jakiro,Spectre,Windranger,Mars,Leshrac,Nature's Prophet,Rubick,Treant Protector,Necrophos,Storm Spirit
24,Void Spirit,Invoker,Ogre Magi,Axe,Sven,Nature's Prophet,Earthshaker,Silencer,Ember Spirit,Drow Ranger
25,Windranger,Elder Titan,Puck,Anti-Mage,Mars,Ogre Magi,Void Spirit,Treant Protector,Leshrac,Terrorblade
26,Enchantress,Bloodseeker,Dark Willow,Doom,Arc Warden,Windranger,Void Spirit,Elder Titan,Drow Ranger,Sand King
27,Io,Bloodseeker,Rubick,Puck,Spectre,Mirana,Morphling,Warlock,Sand King,Storm Spirit
28,Warlock,Ember Spirit,Death Prophet,Nyx Assassin,Phantom Assassin,Venomancer,Earth Spirit,Leshrac,Beastmaster,Juggernaut
29,Clockwerk,Death Prophet,Phoenix,Axe,Morphling,Windranger,Tidehunter,Mirana,Arc Warden,Undying
30,Mirana,Winter Wyvern,Nyx Assassin,Faceless Void,Axe,Treant Protector,Ember Spirit,Silencer,Batrider,Gyrocopter
31,Treant Protector,Morphling,Windranger,Invoker,Tidehunter,Mirana,Phoenix,Earthshaker,Silencer,Chaos Knight
32,Clockwerk,Terrorblade,Axe,Disruptor,Storm Spirit,Windranger,Treant Protector,Tiny,Ember Spirit,Dark Seer
33,Rubick,Spectre,Ember Spirit,Jakiro,Dazzle,Nature's Prophet,Treant Protector,Monkey King,Viper,Earth Spirit
34,Axe,Io,Skywrath Mage,Tinker,Monkey King,Clockwerk,Necrophos,Earth Spirit,Mars,Nyx Assassin
35,Rubick,Void Spirit,Tidehunter,Puck,Medusa,Nature's Prophet,Earth Spirit,Ember Spirit,Spectre,Necrophos
36,Dark Seer,Enchantress,Tusk,Lifestealer,Viper,Nature's Prophet,Elder Titan,Sven,Void Spirit,Treant Protector
37,Crystal Maiden,Spectre,Earth Spirit,Dark Seer,Shadow Fiend,Nature's Prophet,Rubick,Elder Titan,Anti-Mage,Ember Spirit
38,Earth Spirit,Phoenix,Morphling,Ember Spirit,Mars,Witch Doctor,Mirana,Centaur Warrunner,Void Spirit,Drow Ranger
39,Silencer,Death Prophet,Tiny,Underlord,Sven,Earth Spirit,Ember Spirit,Enchantress,Clinkz,Tidehunter
40,Rubick,Magnus,Crystal Maiden,Ember Spirit,Omniknight,Nature's Prophet,Winter Wyvern,Tiny,Faceless Void,Lina
41,Clockwerk,Dark Seer,Elder Titan,Magnus,Dragon Knight,Void Spirit,Rubick,Keeper of the Light,Faceless Void,Underlord
42,Clockwerk,Spectre,Witch Doctor,Legion Commander,Shadow Fiend,Tiny,Silencer,Viper,Faceless Void,Void Spirit
43,Clockwerk,Dark Seer,Enchantress,Ember Spirit,Naga Siren,Venomancer,Rubick,Faceless Void,Tiny,Shadow Demon
44,Phoenix,Axe,Crystal Maiden,Faceless Void,Timbersaw,Tiny,Nature's Prophet,Spectre,Invoker,Warlock
45,Doom,Crystal Maiden,Leshrac,Phantom Lancer,Lion,Clockwerk,Death Prophet,Witch Doctor,Terrorblade,Axe
46,Phoenix,Ember Spirit,Mirana,Centaur Warrunner,Medusa,Void Spirit,Silencer,Windranger,Sven,Underlord
47,Doom,Tiny,Spectre,Magnus,Techies,Nature's Prophet,Invoker,Pangolier,Necrophos,Elder Titan
48,Dark Seer,Earth Spirit,Jakiro,Terrorblade,Dragon Knight,Nature's Prophet,Tiny,Elder Titan,Morphling,Void Spirit
49,Venomancer,Earthshaker,Enchantress,Anti-Mage,Death Prophet,Io,Gyrocopter,Clockwerk,Centaur Warrunner,Lina
50,Rubick,Ember Spirit,Crystal Maiden,Spectre,Centaur Warrunner,Void Spirit,Enchantress,Earth Spirit,Necrophos,Alchemist
51,Tiny,Invoker,Undying,Gyrocopter,Axe,Void Spirit,Silencer,Centaur Warrunner,Windranger,Terrorblade
52,Void Spirit,Bane,Magnus,Troll Warlord,Ember Spirit,Nyx Assassin,Anti-Mage,Beastmaster,Lich,Shadow Fiend
53,Rubick,Legion Commander,Vengeful Spirit,Beastmaster,Terrorblade,Witch Doctor,Death Prophet,Axe,Phoenix,Ember Spirit
54,Tiny,Terrorblade,Vengeful Spirit,Necrophos,Viper,Rubick,Venomancer,Winter Wyvern,Gyrocopter,Leshrac
55,Faceless Void,Lina,Undying,Centaur Warrunner,Shadow Shaman,Ember Spirit,Phoenix,Axe,Morphling,Witch Doctor
56,Rubick,Beastmaster,Crystal Maiden,Storm Spirit,Luna,Venomancer,Void Spirit,Winter Wyvern,Gyrocopter,Dragon Knight
57,Disruptor,Spectre,Kunkka,Jakiro,Brewmaster,Mirana,Elder Titan,Monkey King,Venomancer,Terrorblade
58,Vengeful Spirit,Batrider,Snapfire,Clinkz,Dragon Knight,Phoenix,Ogre Magi,Weaver,Axe,Lina
59,Silencer,Magnus,Timbersaw,Ursa,Leshrac,Enchantress,Spectre,Treant Protector,Axe,Zeus
60,Earthshaker,Batrider,Queen of Pain,Crystal Maiden,Juggernaut,Mirana,Rubick,Ember Spirit,Abaddon,Weaver
61,Phoenix,Queen of Pain,Legion Commander,Clockwerk,Medusa,Tiny,Snapfire,Invoker,Faceless Void,Centaur Warrunner
62,Mirana,Ember Spirit,Dark Seer,Slardar,Lifestealer,Treant Protector,Lion,Spectre,Pangolier,Invoker
63,Tiny,Anti-Mage,Oracle,Abaddon,Kunkka,Ember Spirit,Phoenix,Ogre Magi,Terrorblade,Night Stalker
64,Enchantress,Sand King,Silencer,Juggernaut,Lina,Phoenix,Anti-Mage,Jakiro,Mars,Pugna
65,Mirana,Legion Commander,Dark Willow,Queen of Pain,Sven,Vengeful Spirit,Ember Spirit,Rubick,Beastmaster,Troll Warlord
66,Earthshaker,Batrider,Kunkka,Bane,Sven,Enchantress,Void Spirit,Silencer,Sand King,Spectre
67,Tiny,Ogre Magi,Puck,Sven,Brewmaster,Mirana,Queen of Pain,Rubick,Legion Commander,Lifestealer
68,Clockwerk,Death Prophet,Phoenix,Ursa,Bounty Hunter,Tiny,Doom,Lich,Medusa,Vengeful Spirit
69,Bounty Hunter,Clinkz,Centaur Warrunner,Vengeful Spirit,Ember Spirit,Mirana,Clockwerk,Mars,Kunkka,Morphling
70,Phoenix,Kunkka,Grimstroke,Sven,Underlord,Silencer,Ember Spirit,Sand King,Lina,Lifestealer
71,Nature's Prophet,Void Spirit,Earthshaker,Ogre Magi,Ursa,Phoenix,Winter Wyvern,Nyx Assassin,Monkey King,Faceless Void
72,Earthshaker,Bane,Slark,Sand King,Lone Druid,Mirana,Clockwerk,Axe,Spectre,Pangolier
73,Earthshaker,Queen of Pain,Spectre,Disruptor,Underlord,Mirana,Clockwerk,Tidehunter,Kunkka,Troll Warlord
74,Disruptor,Tiny,Morphling,Legion Commander,Weaver,Mirana,Ogre Magi,Brewmaster,Anti-Mage,Pugna
75,Snapfire,Clockwerk,Chaos Knight,Rubick,Alchemist,Earthshaker,Nature's Prophet,Lich,Brewmaster,Queen of Pain
76,Vengeful Spirit,Nature's Prophet,Phoenix,Doom,Death Prophet,Ogre Magi,Techies,Spectre,Void Spirit,Broodmother
77,Io,Rubick,Doom,Weaver,Lina,Earthshaker,Nature's Prophet,Ogre Magi,Brewmaster,Zeus
78,Earth Spirit,Queen of Pain,Warlock,Venomancer,Weaver,Earthshaker,Viper,Oracle,Sven,Omniknight
79,Treant Protector,Sven,Shadow Demon,Batrider,Invoker,Earth Spirit,Nature's Prophet,Doom,Zeus,Rubick
80,Treant Protector,Jakiro,Doom,Sven,Outworld Devourer,Earth Spirit,Nature's Prophet,Witch Doctor,Troll Warlord,Windranger
81,Terrorblade,Mars,Elder Titan,Zeus,Shadow Shaman,Phoenix,Naga Siren,Ogre Magi,Doom,Pugna
82,Mars,Morphling,Void Spirit,Jakiro,Mirana,Earthshaker,Bane,Nature's Prophet,Queen of Pain,Spectre
83,Clockwerk,Morphling,Void Spirit,Sand King,Skywrath Mage,Earthshaker,Terrorblade,Nature's Prophet,Puck,Lich
84,Mars,Shadow Shaman,Oracle,Lina,Slark,Ogre Magi,Mirana,Morphling,Templar Assassin,Clockwerk
85,Phoenix,Terrorblade,Bane,Ember Spirit,Void Spirit,Vengeful Spirit,Mirana,Sand King,Zeus,Medusa
86,Void Spirit,Terrorblade,Oracle,Batrider,Tiny,Shadow Demon,Mars,Io,Gyrocopter,Invoker
87,Mars,Phoenix,Treant Protector,Visage,Puck,Shadow Demon,Anti-Mage,Earthshaker,Disruptor,Dragon Knight
88,Phoenix,Clockwerk,Tidehunter,Zeus,Wraith King,Mars,Terrorblade,Oracle,Earthshaker,Templar Assassin
89,Mirana,Ogre Magi,Dragon Knight,Morphling,Beastmaster,Vengeful Spirit,Mars,Skywrath Mage,Anti-Mage,Venomancer
90,Nyx Assassin,Oracle,Void Spirit,Terrorblade,Leshrac,Queen of Pain,Earthshaker,Bane,Naga Siren,Underlord
91,Phoenix,Ogre Magi,Ancient Apparition,Dragon Knight,Death Prophet,Mirana,Clockwerk,Morphling,Centaur Warrunner,Sniper
92,Phoenix,Bane,Dragon Knight,Tusk,Kunkka,Mars,Mirana,Clockwerk,Terrorblade,Timbersaw
93,Phoenix,Void Spirit,Bane,Phantom Lancer,Underlord,Queen of Pain,Mars,Shadow Shaman,Spectre,Lich
94,Shadow Demon,Pangolier,Clockwerk,Death Prophet,Terrorblade,Vengeful Spirit,Mars,Mirana,Weaver,Templar Assassin
95,Earthshaker,Disruptor,Dragon Knight,Luna,Nature's Prophet,Ogre Magi,Visage,Puck,Doom,Razor
96,Phoenix,Mars,Abaddon,Monkey King,Terrorblade,Mirana,Ogre Magi,Ember Spirit,Tidehunter,Naga Siren
97,Earthshaker,Batrider,Lich,Anti-Mage,Tiny,Clockwerk,Rubick,Abaddon,Weaver,Ursa
98,Phoenix,Treant Protector,Nature's Prophet,Witch Doctor,Storm Spirit,Mirana,Beastmaster,Ogre Magi,Luna,Queen of Pain
99,Queen of Pain,Shadow Demon,Nature's Prophet,Abaddon,Rubick,Vengeful Spirit,Viper,Earthshaker,Batrider,Spectre
100,Bane,Puck,Mars,Morphling,Underlord,Mirana,Ember Spirit,Keeper of the Light,Nature's Prophet,Lycan
101,Treant Protector,Queen of Pain,Disruptor,Legion Commander,Spectre,Mirana,Jakiro,Ember Spirit,Faceless Void,Tiny
102,Vengeful Spirit,Mirana,Sand King,Death Prophet,Phantom Assassin,Phoenix,Mars,Bane,Razor,Drow Ranger
103,Rubick,Underlord,Undying,Leshrac,Sven,Magnus,Clockwerk,Grimstroke,Lifestealer,Beastmaster
104,Magnus,Phoenix,Clockwerk,Mars,Phantom Lancer,Tiny,Witch Doctor,Leshrac,Morphling,Omniknight
105,Phoenix,Earth Spirit,Legion Commander,Morphling,Templar Assassin,Magnus,Oracle,Mirana,Mars,Phantom Lancer
106,Tusk,Witch Doctor,Lina,Queen of Pain,Gyrocopter,Undying,Underlord,Drow Ranger,Clockwerk,Zeus
107,Doom,Treant Protector,Batrider,Void Spirit,Drow Ranger,Earth Spirit,Witch Doctor,Bloodseeker,Morphling,Leshrac
108,Phoenix,Tiny,Disruptor,Drow Ranger,Magnus,Earth Spirit,Underlord,Faceless Void,Lich,Queen of Pain
109,Tiny,Witch Doctor,Dark Seer,Spectre,Death Prophet,Clockwerk,Underlord,Skywrath Mage,Morphling,Doom
110,Phoenix,Mars,Vengeful Spirit,Templar Assassin,Razor,Nyx Assassin,Witch Doctor,Lifestealer,Underlord,Storm Spirit
111,Snapfire,Rubick,Tidehunter,Morphling,Earthshaker,Nyx Assassin,Dark Seer,Spectre,Witch Doctor,Death Prophet
112,Treant Protector,Faceless Void,Underlord,Windranger,Storm Spirit,Snapfire,Earth Spirit,Witch Doctor,Doom,Monkey King
113,Earth Spirit,Batrider,Warlock,Spectre,Ember Spirit,Earthshaker,Disruptor,Slark,Omniknight,Storm Spirit
114,Elder Titan,Rubick,Phantom Lancer,Kunkka,Omniknight,Earthshaker,Batrider,Void Spirit,Disruptor,Morphling
115,Enchantress,Clinkz,Tiny,Outworld Devourer,Abaddon,Earth Spirit,Batrider,Bane,Morphling,Void Spirit
116,Clockwerk,Snapfire,Outworld Devourer,Night Stalker,Visage,Treant Protector,Void Spirit,Tusk,Morphling,Batrider
117,Rubick,Nature's Prophet,Terrorblade,Disruptor,Puck,Phoenix,Tusk,Lich,Faceless Void,Void Spirit
118,Queen of Pain,Treant Protector,Shadow Demon,Mars,Faceless Void,Earthshaker,Bane,Void Spirit,Batrider,Spectre
119,Ogre Magi,Morphling,Shadow Demon,Clockwerk,Kunkka,Tusk,Clinkz,Enchantress,Slark,Puck
120,Clockwerk,Jakiro,Terrorblade,Tiny,Sniper,Treant Protector,Nature's Prophet,Earth Spirit,Morphling,Pugna
121,Clockwerk,Pangolier,Crystal Maiden,Naga Siren,Shadow Fiend,Phoenix,Nature's Prophet,Bane,Ember Spirit,Anti-Mage
122,Clockwerk,Anti-Mage,Mirana,Bane,Kunkka,Phoenix,Treant Protector,Centaur Warrunner,Puck,Phantom Assassin
123,Ogre Magi,Anti-Mage,Doom,Puck,Razor,Phoenix,Treant Protector,Nature's Prophet,Templar Assassin,Beastmaster
124,Phoenix,Spectre,Enchantress,Axe,Templar Assassin,Earthshaker,Disruptor,Tidehunter,Queen of Pain,Morphling
125,Earth Spirit,Queen of Pain,Disruptor,Nature's Prophet,Doom,Shadow Demon,Mirana,Ember Spirit,Naga Siren,Legion Commander
126,Mars,Snapfire,Ogre Magi,Anti-Mage,Morphling,Phoenix,Disruptor,Ember Spirit,Terrorblade,Centaur Warrunner
127,Phoenix,Queen of Pain,Rubick,Luna,Beastmaster,Earthshaker,Anti-Mage,Oracle,Viper,Enchantress
128,Mirana,Shadow Demon,Pangolier,Terrorblade,Shadow Shaman,Phoenix,Vengeful Spirit,Bane,Morphling,Void Spirit
129,Vengeful Spirit,Mirana,Bane,Medusa,Juggernaut,Phoenix,Ember Spirit,Disruptor,Mars,Naga Siren
130,Clockwerk,Shadow Demon,Mars,Arc Warden,Ursa,Earthshaker,Terrorblade,Witch Doctor,Void Spirit,Night Stalker
131,Vengeful Spirit,Clinkz,Rubick,Tidehunter,Ember Spirit,Phoenix,Mars,Terrorblade,Disruptor,Void Spirit
132,Vengeful Spirit,Clinkz,Medusa,Shadow Demon,Brewmaster,Phoenix,Mars,Clockwerk,Troll Warlord,Sniper
133,Ember Spirit,Keeper of the Light,Rubick,Centaur Warrunner,Templar Assassin,Earthshaker,Morphling,Visage,Disruptor,Death Prophet
